Q1,Q2,EN,SN,FN,F,M,Q3,Predicted_MAPE
1.168660191,0.904478828,0.365156184,0.148491551,0.071562072,0.001327861,1058.051643,1.365766643,2.3421223
1.168642234,0.904441452,0.365110185,0.148292653,0.071841396,0.001327876,1058.212549,1.365724672,2.3421223
1.168736973,0.904530295,0.365264843,0.148523344,0.071999157,0.001327862,1058.44099,1.365946111,2.3421223
1.168546727,0.90446958,0.365122013,0.148483684,0.068144642,0.00132786,1058.122208,1.365501453,2.4251602
1.168602479,0.904490867,0.365103838,0.148351977,0.067861798,0.001327897,1058.356633,1.365631754,2.4251602
1.168610976,0.904546385,0.365236378,0.148585777,0.067654083,0.001327867,1058.547414,1.365651613,2.4370425
1.168620378,0.904511997,0.365115966,0.14851908,0.067644193,0.001327867,1058.492531,1.365673588,2.4370425
1.168707697,0.90446785,0.365088954,0.148516,0.067649648,0.001327868,1058.264022,1.365877682,2.4370425
1.168657989,0.904447646,0.365210508,0.148538782,0.067650277,0.001327868,1058.377877,1.365761496,2.4370425
1.168642595,0.904447098,0.365205294,0.14843365,0.067649744,0.001327868,1058.644313,1.365725516,2.4370425
1.168565867,0.905332921,0.274765196,0.170067427,0.047135983,0.001300036,1071.807495,1.365546185,2.2963622
1.168563904,0.905420973,0.274684994,0.170104124,0.04723359,0.001300018,1071.93359,1.365541598,2.2963622
1.168511787,0.905324611,0.274754921,0.170126906,0.047093123,0.001300038,1070.848155,1.365419797,2.2963622
1.168561944,0.905419064,0.2747426,0.170139273,0.047159937,0.001300035,1071.8133,1.365537018,2.2963622
1.168519361,0.905318395,0.274685563,0.170063513,0.046338782,0.00130002,1071.833463,1.365437497,2.2963622
1.168519361,0.905318395,0.274685563,0.170063513,0.046338782,0.00130002,1071.833463,1.365437497,2.2963622
1.168477475,0.905339963,0.274716844,0.170187225,0.048111906,0.0013,1067.433354,1.36533961,2.2963622
1.168561944,0.905419064,0.2747426,0.170139273,0.047159937,0.001300035,1071.812542,1.365537018,2.2963622
1.168519361,0.905318395,0.274685563,0.170063513,0.046338782,0.00130002,1071.833463,1.365437497,2.2963622
1.168561944,0.905419064,0.2747426,0.170139273,0.047159937,0.001300035,1071.887746,1.365537018,2.2963622
1.180554946,0.910829551,0.36581472,0.170293939,0.048352394,0.001328279,1058.26893,1.393709979,1.5435443
1.180644827,0.91085912,0.364496478,0.170423716,0.047685358,0.001328033,1049.778943,1.393922206,1.5435443
1.181168548,0.911010798,0.365670588,0.170429163,0.04734981,0.001328044,1059.295917,1.395159139,1.5435443
1.180747769,0.910670819,0.365809561,0.170295692,0.046944082,0.001327938,1055.343858,1.394165294,1.5435443
1.180423161,0.910561255,0.365763686,0.170379858,0.047028535,0.001327864,1058.265152,1.393398839,1.5435443
1.180492795,0.910977415,0.365749023,0.170332191,0.047256576,0.00132809,1054.815615,1.393563239,1.5435443
1.181027229,0.910839628,0.366917193,0.170282425,0.0473356,0.001327807,1053.988856,1.394825316,1.5435443
1.180475723,0.910960022,0.365625808,0.170277564,0.047271837,0.001327951,1050.842497,1.393522934,1.5435443
1.180673104,0.910995372,0.366359473,0.170508157,0.047272866,0.001327983,1054.353925,1.393988979,1.5435443
1.18057441,0.910808795,0.365754343,0.170583556,0.047026528,0.001328085,1052.235196,1.393755938,1.5435443
