JOB_NUM,Q1,Q2,Q3,EN,SN,FN,F,M,ORIG_MAPE,MAPE1,MAPE2,WMAPE,KAPPA,SIM_TIME
1,0.9,0.9,0.81,0.25,0.1,0.03,0.0013,0.0,21.51735,1.67961,42.58448,43.42429,,0.2
2,0.9,0.9,0.81,0.25,0.1,0.09,0.0015,1100.0,7.01888,1.80356,12.56888,13.47066,,0.1
3,0.9,0.9,2.56,0.4,0.2,0.03,0.0013,0.0,20.26448,1.67056,40.01095,40.84623,,0.2
4,0.9,1.1,0.81,0.4,0.2,0.03,0.0015,1100.0,7.67506,1.67798,14.05515,14.89414,,0.1
5,0.9,1.1,2.56,0.25,0.2,0.09,0.0013,1100.0,7.06896,2.1098,12.34779,13.40269,,0.2
6,0.9,1.1,2.56,0.4,0.1,0.09,0.0015,0.0,18.04714,1.65924,35.44739,36.27701,,0.1
7,1.6,0.9,2.56,0.4,0.1,0.03,0.0015,1100.0,7.74418,1.73977,14.13319,15.00308,,0.1
8,1.6,0.9,2.56,0.25,0.2,0.09,0.0015,0.0,33.8065,2.93819,66.57977,68.04886,,0.1
9,1.6,0.9,0.81,0.4,0.2,0.09,0.0013,1100.0,7.12512,2.01362,12.56552,13.57233,,0.2
10,1.6,1.1,2.56,0.25,0.1,0.03,0.0013,1100.0,7.25355,1.83924,13.01523,13.93485,,0.1
11,1.6,1.1,0.81,0.4,0.1,0.09,0.0013,0.0,11.62227,1.74498,22.10816,22.98065,,0.1
12,1.6,1.1,0.81,0.25,0.2,0.03,0.0015,0.0,12.97187,2.10958,24.51421,25.569,,0.1
13,1.58373,0.97532,2.51412,0.31303,0.16047,0.08512,0.00144,0.44223,31.49234,2.25264,62.53472,63.66104,2.5,141.76448
14,1.54319,0.9671,2.42217,0.31416,0.14079,0.05198,0.00146,1.75188,28.64058,1.94572,56.9864,57.95926,2.5,135.10546
15,1.36948,0.93188,2.49185,0.3298,0.14984,0.06723,0.0014,3.61693,23.82705,1.91707,47.0888,48.04734,2.5,135.06992
