,E,SIGMA_Y,r2,MAPE,ZERO,WINDOW_LENGTH,MULTI
59,147341.5507380468,384.9956309531467,0.994,28.489438457450717,28,59,9.062472343664261e-05
53,156733.62338976093,340.85358851507226,0.999,4.4050327630515085,22,53,0.0006653474162481573
47,158063.02950266167,312.3908593629143,1.0,4.553394012979709,20,47,0.0007030180084255926
41,158861.87055757042,297.4220534296472,1.0,4.754878788305064,19,41,0.0007071106558809446
35,161052.240162246,209.36791221091988,1.0,7.105427357601002e-14,13,35,67220180432.20838
77,161052.240162246,209.36791221091988,1.0,7.105427357601002e-14,13,77,67220180432.20838
89,161052.240162246,209.36791221091988,1.0,7.105427357601002e-14,13,89,67220180432.20838
23,161052.24016224602,161.05224016224605,1.0,2.842170943040401e-14,10,23,218465586404.67728
17,161052.2401622461,96.63134409734764,1.0,1.4210854715202004e-14,6,17,728218621348.9242
29,161052.2401622461,96.63134409734764,1.0,1.4210854715202004e-14,6,29,728218621348.9242
